auth.log.1,Authentication Failure,Mar 17 02:20:37 test-server-2214-dvwa sshd[58172,: Disconnecting invalid user ubnt 121.152.45.237 port 52702: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 02:32:27 test-server-2214-dvwa sshd[58189,: Disconnecting authenticating user root 111.43.75.99 port 35314: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 05:39:31 test-server-2214-dvwa sshd[59223,: Disconnecting authenticating user root 222.168.30.19 port 18561: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 05:39:45 test-server-2214-dvwa sshd[59256,: Disconnecting authenticating user root 222.168.30.19 port 23847: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 05:40:00 test-server-2214-dvwa sshd[59262,: Disconnecting authenticating user root 222.168.30.19 port 29140: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 07:41:15 test-server-2214-dvwa sshd[60142,: Disconnecting authenticating user root 187.134.174.120 port 4233: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,-,-,-,-,-
auth.log.1,Authentication Failure,-,-,-,-,-
auth.log.1,Authentication Failure,Mar 17 16:39:44 test-server-2214-dvwa sshd[63105,: Disconnecting authenticating user root 112.214.204.88 port 47988: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 16:39:46 test-server-2214-dvwa sshd[63107,: Disconnecting authenticating user root 112.214.204.88 port 50360: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 16:39:51 test-server-2214-dvwa sshd[63111,: Disconnecting invalid user admin 112.214.204.88 port 55004: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 16:39:55 test-server-2214-dvwa sshd[63113,: Disconnecting invalid user admin 112.214.204.88 port 57306: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 16:40:02 test-server-2214-dvwa sshd[63118,: Disconnecting invalid user oracle 112.214.204.88 port 35722: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 16:40:06 test-server-2214-dvwa sshd[63120,: Disconnecting invalid user oracle 112.214.204.88 port 37548: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 16:40:15 test-server-2214-dvwa sshd[63124,: Disconnecting invalid user usuario 112.214.204.88 port 44232: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 16:40:22 test-server-2214-dvwa sshd[63126,: Disconnecting invalid user usuario 112.214.204.88 port 48954: Too many authentication failures [preauth]
auth.log.1,Authentication Failure,Mar 17 16:40:29 test-server-2214-dvwa sshd[63130,: Disconnecting invalid user test 112.214.204.88 port 56784: Too many authentication failures [preauth]
